Episode,TotalReward
1,-224.31999999999567
2,-254.27999999999528
3,-189.41999999999624
4,-218.34999999999513
5,-265.80999999998687
6,-282.24999999998573
7,-258.05999999998977
8,-323.29999999998495
9,-226.44999999999501
10,-290.8599999999909
11,-247.0999999999924
12,-157.92000000000314
13,-229.24999999998911
14,-278.6099999999925
15,-276.75999999999067
16,-231.69000000000003
17,-181.98999999999975
18,-208.23999999999404
19,-152.650000000006
20,-183.53999999999942
21,-158.33999999999511
22,-132.20000000000903
23,-151.4900000000055
24,-186.31000000000193
25,-106.7700000000035
26,-168.50999999999948
27,-120.63000000000724
28,-169.58000000000482
29,-127.35000000000767
30,-109.57000000000343
31,-125.03000000000742
32,-142.34000000000307
33,-158.18000000000214
34,-124.72000000000351
35,-78.20000000000066
36,-86.45000000000054
37,-157.10999999999999
38,-134.64000000000576
39,-139.05000000000413
40,-80.96000000000072
41,-122.50000000000279
42,-77.4199999999999
43,-85.1400000000004
44,-88.57000000000112
45,-115.96000000000717
46,-79.84000000000083
47,-116.88000000000102
48,-64.84999999999968
49,-54.959999999999546
50,-33.940000000000545
51,-59.41000000000043
52,-62.20999999999763
53,-58.46000000000046
54,-102.02000000000209
55,46.329999999985844
56,-23.280000000000733
57,12.740000000001507
58,-103.56000000000572
59,-22.169999999999376
60,-17.86999999999896
61,-28.049999999998967
62,-7.090000000000689
63,-25.52999999999788
64,33.43999999999314
65,53.28999999999159
66,-13.48000000000027
67,88.99999999999264
68,-13.519999999999337
69,1.7700000000013727
70,-36.88999999999995
71,-11.290000000003287
72,9.949999999999564
73,77.9499999999863
74,-30.40000000000115
75,10.369999999995331
76,32.50000000000268
77,-51.93000000000072
78,-7.710000000007029
79,40.09999999999885
80,-13.439999999998424
81,35.740000000000464
82,-10.840000000000945
83,39.030000000000896
84,58.35999999999202
85,8.030000000002778
86,-37.070000000001144
87,38.54999999999829
88,24.559999999990673
89,37.45999999998758
90,39.54999999999709
91,54.85999999998581
92,47.829999999986015
93,41.12999999999341
94,-12.729999999999569
95,64.65999999999761
96,84.38999999998565
97,75.92999999998955
98,111.24999999999086
99,22.370000000002584
100,127.7199999999958
101,78.9099999999921
102,103.2799999999836
103,73.84999999998746
104,26.49000000000151
105,133.63999999999754
106,56.799999999984415
107,19.850000000001593
108,-0.9200000000019024
109,118.08000000001194
110,148.87000000000955
111,58.539999999989696
112,189.09000000001797
113,115.75000000000607
114,206.61000000001735
115,62.16999999999593
116,97.54999999998763
117,108.43999999999286
118,141.4000000000066
119,71.97999999998704
120,97.00999999999861
121,134.67000000000263
122,70.65999999999309
123,107.69999999999386
124,26.140000000001052
125,89.83999999999288
126,8.500000000001249
127,18.660000000004317
128,50.53999999999459
129,132.87999999999272
130,142.07000000002233
131,146.84000000000833
132,132.91999999999993
133,93.85999999999258
134,187.7600000000093
135,127.51000000000057
136,184.9599999999948
137,72.97999999999273
138,73.8599999999878
139,170.48999999999907
140,122.62999999999359
141,157.98000000000414
142,188.24000000001067
143,142.69000000000065
144,182.40000000001743
145,115.02000000000581
146,112.55000000000592
147,106.78999999999992
148,128.60999999999012
149,96.50999999999446
150,93.5200000000127
151,104.81999999999398
152,170.52000000000572
153,219.3600000000065
