Episode,TotalReward,MovingAvgReward,EpisodeLength,Loss,MeanQ,Epsilon,ExplorationRate
24,-174.23999999999427,-236.3113043478191,3975,0.12952548265457153,5.599573135375977,0.6711630744267418,0.5
25,-170.75999999999922,-233.7249999999931,3217,0.07899013161659241,6.029140472412109,0.6451357048127031,0.625
26,-122.96000000000939,-231.20639999999332,3632,0.06883092224597931,6.026287078857422,0.633636429434019,0.5
27,-148.30000000000283,-227.04307692307086,3226,0.8787795305252075,6.52177619934082,0.6206274731845423,0.75
28,-113.91000000000605,-224.12666666666095,3677,0.0893600732088089,5.920807838439941,0.6157152454866414,0.5
29,-130.59000000000682,-220.19035714285184,3545,0.869410514831543,6.137473106384277,0.6156121127511613,0.5
30,-110.20000000000805,-217.1006896551675,3596,0.8788852691650391,8.692782402038574,0.6062926001496958,0.5
31,-102.27000000000315,-213.53733333332886,3043,0.7612489461898804,8.879751205444336,0.60570564123551,0.75
32,-157.2800000000007,-209.94806451612482,3929,0.08222450315952301,8.020380020141602,0.591309739701292,0.375
33,-100.18000000000085,-208.30218749999594,3099,0.06462415307760239,7.837370872497559,0.5815811550378936,0.75
34,-130.8700000000052,-205.0257575757537,2918,0.06966899335384369,7.897435665130615,0.5748480049861865,0.625
35,-83.22000000000014,-202.8447058823493,2948,0.052377328276634216,7.951522350311279,0.5582591085445336,0.625
36,-71.02999999999997,-199.42685714285363,3314,0.12099184095859528,7.826735019683838,0.5516893945083223,0.625
37,-114.6300000000054,-195.86027777777434,3569,0.07621221989393234,8.548081398010254,0.5513642951940738,0.125
38,-65.92999999999992,-193.66486486486167,3264,0.13307473063468933,8.909187316894531,0.5443243275938245,0.625
39,-167.48999999999631,-190.3034210526285,3400,0.8234255313873291,8.1796293258667,0.5414014431603985,0.5
40,-130.17000000000445,-189.71846153845843,3108,0.07878211885690689,7.666757106781006,0.5338742577022767,0.75
41,-39.63999999999961,-188.22974999999707,3155,1.3921173810958862,7.793135643005371,0.5244841908840866,0.5
42,-82.41000000000047,-184.60560975609468,3087,0.05207625776529312,8.300679206848145,0.5196893368111666,0.5
43,-115.57000000000463,-182.17238095237815,3093,0.7863671183586121,6.744278907775879,0.49883777821361397,0.5
44,-115.12000000000201,-180.62348837209038,3188,2.453254461288452,8.829572677612305,0.49761124768334575,0.625
45,-161.54000000000184,-179.1347727272702,3985,0.07839445769786835,8.317688941955566,0.490737024979805,0.25
46,-71.90999999999988,-178.74377777777534,3107,0.9658221006393433,8.12893009185791,0.48981597286983336,0.625
47,-1.8199999999993803,-176.4213043478237,2968,0.0646887868642807,7.088583946228027,0.48530482078516224,0.75
48,-52.839999999999584,-172.70638297872105,3865,1.4140223264694214,8.008478164672852,0.4806783387618503,0.5
49,-80.93999999999987,-170.20916666666437,3275,0.09578205645084381,5.2080254554748535,0.4723650771915213,0.5
50,-46.69000000000047,-168.38734693877328,3025,1.6302342414855957,7.308042526245117,0.4718590048937059,0.625
51,-112.95000000000366,-165.95339999999783,2686,0.07614307105541229,6.003399848937988,0.45820833673552885,0.625
52,10.62000000000115,-164.91411764705677,2634,0.2240171730518341,7.014761447906494,0.45785030744327526,0.375
53,-10.97999999999812,-161.5384615384595,3089,0.7505699396133423,7.052206039428711,0.4445071218775354,0.5
54,-37.129999999999974,-158.69773584905457,3374,0.48550382256507874,5.452320575714111,0.4366604189175347,0.25
55,19.899999999999423,-156.44648148147948,3831,0.8940277099609375,9.349355697631836,0.4352225914701958,0.375
56,-79.8799999999992,-153.24018181817985,3729,1.3277243375778198,8.072779655456543,0.4207669231614398,0.375
57,-53.58000000000107,-151.93017857142664,2894,1.4703680276870728,8.111711502075195,0.4187333192454533,0.5
58,37.7699999999999,-150.2047368421034,4234,0.8055284023284912,7.120972633361816,0.41392520701768454,0.5
59,-36.97000000000162,-146.96379310344642,3368,0.9282845854759216,7.842599391937256,0.4130599680253787,0.25
60,-51.5399999999984,-145.0994915254219,5840,0.05617419630289078,5.329100131988525,0.4013748272588239,0.5
61,25.740000000002354,-143.54016666666487,3702,0.0453740619122982,8.04287338256836,0.3970898930841582,0.375
